model,odor_class,threshold_95ile
gnn,alcoholic,0.042
gnn,animal,0.408
gnn,apple,0.432
gnn,berry,0.296
gnn,buttery,0.223
gnn,camphoreous,0.213
gnn,caramellic,0.613
gnn,cheesy,0.216
gnn,citrus,0.162
gnn,coconut,0.17
gnn,coffee,0.621
gnn,cooling,0.219
gnn,cucumber,0.0429
gnn,dairy,0.194
gnn,earthy,0.43
gnn,fatty,0.174
gnn,fermented,0.265
gnn,fishy,0.797
gnn,floral,0.513
gnn,fruity,0.318
gnn,garlic,0.0672
gnn,grassy,0.157
gnn,green,0.297
gnn,hay,0.513
gnn,herbal,0.256
gnn,honey,0.47
gnn,jasmin,0.314
gnn,lemon,0.162
gnn,meaty,0.512
gnn,medicinal,0.333
gnn,metallic,0.19
gnn,mint,0.33
gnn,musk,0.206
gnn,musty,0.336
gnn,nutty,0.644
gnn,orange,0.425
gnn,ozone,0.126
gnn,peach,0.136
gnn,pine,0.171
gnn,powdery,0.494
gnn,roasted,0.641
gnn,rose,0.282
gnn,rummy,0.335
gnn,sharp,0.163
gnn,smoky,0.419
gnn,sour,0.274
gnn,spicy,0.48
gnn,sulfurous,0.107
gnn,sweet,0.378
gnn,tomato,0.166
gnn,tropical,0.319
gnn,vanilla,0.807
gnn,waxy,0.112
gnn,winey,0.482
gnn,woody,0.324
rf,alcoholic,0.058
rf,animal,0.074
rf,apple,0.196
rf,berry,0.0892
rf,buttery,0.0725
rf,camphoreous,0.0801
rf,caramellic,0.17
rf,cheesy,0.086
rf,citrus,0.072
rf,coconut,0.06
rf,coffee,0.166
rf,cooling,0.038
rf,cucumber,0.014
rf,dairy,0.046
rf,earthy,0.154
rf,fatty,0.0959
rf,fermented,0.132
rf,fishy,0.159
rf,floral,0.259
rf,fruity,0.39
rf,garlic,0.086
rf,grassy,0.034
rf,green,0.264
rf,hay,0.166
rf,herbal,0.117
rf,honey,0.161
rf,jasmin,0.098
rf,lemon,0.028
rf,meaty,0.182
rf,medicinal,0.134
rf,metallic,0.0576
rf,mint,0.129
rf,musk,0.046
rf,musty,0.102
rf,nutty,0.248
rf,orange,0.06
rf,ozone,0.0143
rf,peach,0.026
rf,pine,0.0382
rf,powdery,0.13
rf,roasted,0.201
rf,rose,0.136
rf,rummy,0.14
rf,sharp,0.066
rf,smoky,0.118
rf,sour,0.0765
rf,spicy,0.214
rf,sulfurous,0.15
rf,sweet,0.35
rf,tomato,0.0479
rf,tropical,0.121
rf,vanilla,0.236
rf,waxy,0.0539
rf,winey,0.165
rf,woody,0.192
