RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
OUY,0.7279,0.0425,0.0,0.0,0.0,0.0629,0.0,0.0,0.0,0.2241,0.0,0.0852,0.0,0.2283,0.0455,0.0,0.0455,0.1127,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0706,0.1756,0.2286,0.4343,0.1689,0.0835,0.1137,0.0417,0.0,0.042,0.0,0.3136,0.0488,0.0,0.0,0.0,0.1691,0.0,0.0433,0.0,0.0,0.1431,0.0,0.0458
CWE,0.1915,0.0,0.0,0.0,0.0853,0.3678,0.1426,0.412,0.09,0.0938,0.0,0.0,0.1536,0.0408,0.0477,0.0511,0.0,0.0,0.0,0.0,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816,0.0408,0.0,0.0,0.0,0.3327,0.0575,0.0525,0.0575,0.3533,0.0,0.0,0.0
XKL,0.6263,0.0,0.0,0.0,0.0,0.0,0.0,0.0626,0.0,0.0,0.0,0.0,0.0,0.8102,0.0,0.0,0.0,0.0446,0.0,0.0,0.3439,0.0,0.3585,0.2837,0.043,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1518,0.0442,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0509,0.0,0.0,0.0,0.0,0.1816,0.0,0.1515,0.0,0.0,0.0,0.0,0.0
DRR,0.2751,0.0,0.0,0.0,0.0477,0.0508,0.0,0.0608,0.0,0.1435,0.0,0.0985,0.0,0.1688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0517,0.0,0.044,0.4193,0.0,0.0508,0.0517,0.0608,0.0456,0.044,0.0,0.0,0.0,0.0,0.0,0.0477,0.0,0.0,0.0,0.178,0.0517,0.0,0.0,0.0,0.2545,0.0,0.0,0.0,0.0,0.044,0.0,0.0
IEZ,0.0963,0.0,0.0,0.0,0.0592,0.053,0.0,0.0,0.0,0.0892,0.0,0.0,0.0,0.4727,0.0,0.0,0.0,0.0856,0.1291,0.0,0.1376,0.0,0.0,0.0,0.0984,0.106,0.2621,0.0,0.0,0.0,0.0,0.2724,0.0444,0.1627,0.043,0.0,0.0,0.0879,0.0,0.0,0.0,0.0,0.0549,0.0,0.0,0.0,0.0,0.242,0.0,0.0481,0.0,0.0,0.0,0.0,0.0615
PLC,0.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0568,0.0,0.0,0.0,0.0,0.0,0.3786,0.0,0.0,0.0,0.0392,0.0813,0.0,0.0,0.1874,0.0,0.0,0.0,0.0427,0.3641,0.0,0.3167,0.0,0.0,0.1355,0.0395,0.0387,0.0454,0.0,0.0,0.1052,0.0906,0.1718,0.0786,0.0,0.0387,0.1071,0.0,0.0,0.0,0.1841,0.0,0.144,0.0,0.0,0.0,0.0,0.0406
UGR,0.1041,0.0,0.0,0.0,0.1079,0.1579,0.0,0.0,0.0,0.1907,0.0,0.0,0.0504,0.0449,0.0,0.0,0.0888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.1916,0.0573,0.0632,0.0,0.0632,0.0456,0.0632,0.0443,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.1137,0.1718,0.1159,0.0,0.2019,0.5655,0.0,0.0,0.1137,0.0,0.0,0.0,0.0
HWH,0.1204,0.0,0.0,0.0,0.0,0.0844,0.0488,0.0402,0.0,0.3921,0.0,0.0,0.0881,0.052,0.0,0.0408,0.0,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402,0.0864,0.0435,0.0837,0.1698,0.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.2419,0.0435,0.1641,0.0828,0.3062,0.0,0.0,0.3061,0.0,0.0404,0.0954,0.107,0.0,0.0,0.0
QAK,0.0448,0.0,0.0,0.0,0.1794,0.0504,0.0445,0.0479,0.0,0.1339,0.0,0.0,0.0,0.3017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3073,0.0,0.1494,0.0,0.0,0.0442,0.0,0.129,0.0504,0.2339,0.0,0.0,0.0786,0.0,0.0,0.0,0.0,0.0,0.0446,0.0,0.0,0.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZN,0.096,0.0,0.0,0.0,0.0463,0.096,0.0559,0.1024,0.0,0.3938,0.0,0.0,0.136,0.0535,0.0,0.0,0.0,0.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0439,0.046,0.0853,0.0856,0.1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0856,0.0,0.1422,0.0963,0.3237,0.0,0.0463,0.2446,0.0,0.0428,0.078,0.1276,0.0,0.0,0.0
