RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
OUY,0.4475,0.0999,0.0,0.0,0.0,0.1476,0.0,0.0491,0.0,0.2003,0.0,0.1973,0.0,0.2474,0.0,0.0,0.0987,0.0991,0.0,0.0,0.0,0.0,0.0494,0.0,0.1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0493,0.0984,0.0984,0.4961,0.0497,0.0993,0.0493,0.0,0.0,0.0491,0.0,0.1011,0.1495,0.0,0.0,0.0,0.2472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWE,0.1586,0.0,0.0,0.0,0.0,0.3008,0.2406,0.4465,0.0989,0.0,0.0,0.0,0.0,0.0987,0.0505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0536,0.0,0.0,0.0,0.246,0.0966,0.0,0.0,0.3926,0.0,0.0,0.0
XKL,0.4172,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.0,0.1864,0.0,0.0,0.0,0.6729,0.046,0.0,0.0,0.0,0.0496,0.0,0.2196,0.0,0.1883,0.2347,0.0,0.0455,0.0451,0.0,0.0452,0.0,0.0,0.0,0.0,0.1381,0.0452,0.0,0.0,0.0,0.0493,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.0,0.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRR,0.2464,0.0,0.0,0.0,0.0,0.0971,0.0,0.0497,0.0,0.4423,0.0,0.0978,0.0989,0.5957,0.0,0.0,0.0471,0.0,0.0,0.0966,0.0,0.0,0.0,0.0,0.0,0.0,0.1071,0.0,0.0,0.0,0.0,0.0631,0.0631,0.0,0.0471,0.0,0.0,0.0,0.0,0.0,0.0631,0.0,0.0,0.0,0.0487,0.0958,0.0497,0.4412,0.0,0.0,0.0,0.0,0.0495,0.0,0.0
IEZ,0.1432,0.0,0.0,0.0,0.0,0.1098,0.1432,0.0,0.0,0.1448,0.0497,0.0999,0.1466,0.3886,0.0567,0.0,0.0,0.0468,0.0486,0.0,0.0956,0.0,0.0,0.0,0.0,0.0,0.2536,0.0,0.0601,0.0,0.0,0.0971,0.0,0.143,0.0,0.0,0.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0963,0.0,0.0,0.0,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591,0.0,0.0,0.048,0.048,0.299,0.0,0.0968,0.0,0.0,0.0,0.0,0.1044,0.0503,0.0,0.0,0.0,0.0976,0.0482,0.0,0.0,0.0,0.1044,0.0,0.0,0.0,0.1467,0.0,0.1618,0.0,0.0,0.0,0.0,0.0
UGR,0.0972,0.0,0.0,0.0,0.0613,0.1442,0.0934,0.0478,0.0,0.4836,0.0,0.0967,0.0946,0.1445,0.0,0.0,0.1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0511,0.0511,0.0,0.0523,0.3985,0.0,0.0,0.1068,0.0545,0.0461,0.0,0.0
HWH,0.0973,0.0,0.0,0.0,0.0,0.0972,0.0,0.0491,0.0,0.4943,0.0,0.1018,0.0491,0.2488,0.0,0.0,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485,0.104,0.0,0.0,0.0,0.0485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485,0.05,0.05,0.1003,0.0,0.0,0.3416,0.0,0.0,0.2026,0.0,0.0973,0.0,0.0
QAK,0.1474,0.0,0.0,0.0,0.1044,0.0509,0.0516,0.0492,0.0,0.0491,0.0491,0.0,0.0,0.4023,0.0,0.0,0.0,0.0,0.0987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0492,0.1991,0.0,0.0,0.0487,0.0,0.1021,0.0516,0.3511,0.0,0.0497,0.1042,0.0,0.0487,0.0,0.0487,0.0,0.0,0.0,0.0,0.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZN,0.1422,0.0,0.0,0.0,0.047,0.1005,0.1056,0.0482,0.0,0.5828,0.0,0.1504,0.0998,0.1491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065,0.0,0.0522,0.0522,0.0522,0.0472,0.0,0.047,0.0526,0.0,0.0,0.0,0.0522,0.0522,0.0472,0.0998,0.0476,0.0,0.047,0.2901,0.0,0.0,0.1587,0.0526,0.0946,0.0,0.0
UMX,0.1092,0.0352,0.0,0.0,0.0,0.0904,0.0552,0.091,0.0358,0.0723,0.0,0.0,0.0,0.2137,0.0717,0.0,0.0,0.1215,0.0,0.0,0.0427,0.0462,0.1931,0.0,0.0736,0.0854,0.0,0.0,0.0352,0.0,0.0,0.0855,0.1235,0.0,0.1004,0.0,0.0,0.0,0.0,0.0462,0.2693,0.0,0.0552,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.036,0.0,0.0
LPC,0.2908,0.0527,0.0,0.0,0.0,0.0,0.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537,0.0,0.5607,0.256,0.7029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373,0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVD,0.1012,0.0,0.0,0.0,0.0,0.0974,0.0977,0.4479,0.0,0.1102,0.0,0.0487,0.0,0.1481,0.0523,0.0,0.0,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.2495,0.0,0.0,0.0473,0.0,0.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979,0.2448,0.0503,0.0,0.0,0.1007,0.049,0.0,0.0,0.048,0.0,0.0484,0.0473
LRH,0.0,0.0,0.0,0.0,0.0989,0.0472,0.0,0.1515,0.0,0.0,0.0,0.0,0.0,0.1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0451,0.711,0.0,0.0,0.1565,0.0,0.0902,0.0,0.1501,0.0,0.0444,0.0,0.0,0.0895,0.0,0.0,0.0,0.0,0.0489,0.0,0.0,0.0,0.6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTJ,0.0,0.0,0.0,0.0,0.1527,0.0545,0.0,0.1489,0.0,0.1481,0.0,0.0,0.0495,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1497,0.0496,0.0,0.0,0.0495,0.0,0.0,0.2515,0.0,0.1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.099,0.0496,0.0496,0.3979,0.0,0.0,0.1983,0.0,0.0,0.0,0.0
KPZ,0.2981,0.048,0.0,0.0,0.0,0.1023,0.0,0.0993,0.0,0.2516,0.0,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,0.048,0.0,0.0,0.0554,0.0,0.0,0.0,0.0491,0.0976,0.1946,0.048,0.1466,0.048,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.205,0.107,0.107,0.0,0.0,0.306,0.0,0.0,0.0549,0.0,0.0966,0.0,0.1529
YGD,0.2019,0.0,0.0,0.0,0.0,0.1965,0.0,0.0509,0.0,0.295,0.0,0.1965,0.0485,0.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0,0.0491,0.1008,0.0519,0.1028,0.0,0.0491,0.0,0.0,0.0,0.0519,0.0,0.0,0.0,0.0,0.0491,0.1574,0.0539,0.0539,0.0,0.0,0.2511,0.0,0.0,0.2039,0.0,0.15,0.0,0.0507
VUO,0.2976,0.0,0.0,0.0,0.0,0.1067,0.0,0.1608,0.0,0.0479,0.0,0.0,0.0,0.0491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,0.0484,0.0,0.0,0.0981,0.1048,0.3983,0.05,0.5946,0.0,0.0,0.0,0.0,0.054,0.0,0.05,0.0,0.1494,0.2011,0.0,0.0,0.0,0.2528,0.0,0.0,0.0,0.0,0.0,0.0,0.1485
TTE,0.348,0.0,0.0,0.0,0.0,0.1251,0.0399,0.0414,0.0,0.514,0.0414,0.1678,0.1914,0.5041,0.0,0.0,0.0561,0.0,0.0,0.1027,0.0,0.0,0.0,0.0,0.0394,0.0,0.0419,0.0,0.0394,0.0,0.0,0.0,0.0,0.0388,0.0561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786,0.0388,0.1246,0.0,0.0,0.3458,0.0,0.0,0.0,0.0,0.1134,0.0,0.0
YQW,0.3015,0.0,0.0,0.0,0.0,0.0491,0.0484,0.0491,0.0,0.0511,0.0,0.0491,0.0,0.801,0.0506,0.1495,0.0,0.1008,0.2001,0.0,0.2535,0.0511,0.0,0.0,0.0491,0.2453,0.2499,0.0,0.0,0.0,0.0,0.0,0.0496,0.049,0.0,0.0,0.0,0.0,0.0495,0.0,0.0496,0.0,0.0491,0.0,0.0,0.0,0.0,0.5022,0.0,0.2017,0.0,0.0,0.1495,0.0,0.0
STR,0.3009,0.0,0.0,0.0,0.0,0.156,0.2113,0.1034,0.0,0.2018,0.0,0.0535,0.0948,0.5346,0.0,0.0,0.0,0.0944,0.0954,0.0,0.1442,0.0,0.1077,0.0,0.0,0.0,0.0474,0.0,0.0,0.0485,0.0,0.0,0.103,0.0,0.0474,0.0,0.1976,0.0,0.0,0.0944,0.0,0.0544,0.0,0.1449,0.0,0.0,0.0474,0.3021,0.1063,0.0474,0.0,0.0544,0.047,0.0562,0.0
YTJ,0.1608,0.0,0.0,0.0,0.0496,0.049,0.1518,0.0986,0.0,0.0988,0.0,0.0,0.0,0.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508,0.0,0.2983,0.0567,0.2026,0.0991,0.0,0.1031,0.0,0.2052,0.0,0.098,0.0,0.0,0.1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934,0.0,0.0508,0.0,0.0,0.0,0.0,0.0
JTA,0.048,0.0,0.0,0.0,0.0488,0.0502,0.0971,0.2492,0.048,0.3978,0.0,0.0,0.0,0.0,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486,0.2033,0.2452,0.0,0.2573,0.0543,0.0,0.1461,0.0,0.1053,0.0483,0.0,0.0,0.0,0.0,0.0,0.0502,0.0,0.0495,0.0,0.1534,0.5551,0.0,0.1512,0.1988,0.0,0.0,0.0,0.0
USG,0.2502,0.0,0.0,0.0,0.0,0.1508,0.0,0.0,0.0,0.3494,0.0,0.2954,0.0489,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.1994,0.0,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0477,0.2939,0.0,0.0,0.1579,0.0,0.2502,0.0,0.0
LUC,0.0487,0.0,0.0,0.0,0.0,0.2388,0.098,0.0966,0.0,0.0943,0.0474,0.0,0.0,0.5026,0.0471,0.0,0.0,0.0987,0.0,0.0,0.0976,0.0531,0.1567,0.0,0.0537,0.1073,0.1024,0.0,0.0471,0.0,0.0,0.05,0.05,0.0481,0.0476,0.0,0.0,0.0,0.0,0.0531,0.0976,0.0,0.0972,0.053,0.0,0.0,0.0,0.0471,0.0,0.0,0.0,0.0472,0.0,0.0,0.0
JVN,0.1485,0.107,0.0,0.0,0.0,0.0501,0.1949,0.1947,0.0,0.4027,0.0,0.103,0.0493,0.2065,0.0506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477,0.0,0.0,0.0967,0.1112,0.0,0.0501,0.0,0.0,0.0,0.0,0.0,0.0493,0.0,0.102,0.0,0.0,0.0493,0.0,0.0,0.0478,0.0981,0.0478,0.0957,0.0493,0.2427,0.0527,0.0493,0.0,0.0,0.0,0.0487,0.0
JPS,0.0981,0.0482,0.0,0.0,0.0482,0.2051,0.1959,0.5067,0.0,0.149,0.0,0.0482,0.1037,0.0482,0.0,0.0,0.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483,0.0,0.0,0.0,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.0476,0.0504,0.0474,0.0,0.255,0.0,0.0,0.0,0.0485,0.0,0.0482,0.0
