RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
OUY,0.606,0.0099,0.042,0.0,0.014,0.11,0.018,0.044,0.006,0.216,0.0428,0.07,0.014,0.378,0.0933,0.016,0.026,0.142,0.022,0.034,0.0655,0.0,0.02,0.024,0.0368,0.012,0.0219,0.004,0.06,0.002,0.004,0.096,0.114,0.124,0.262,0.07,0.1552,0.08,0.0312,0.014,0.06,0.016,0.1567,0.026,0.006,0.002,0.002,0.1858,0.0,0.024,0.002,0.002,0.068,0.01,0.006
CWE,0.274,0.026,0.002,0.0,0.052,0.2403,0.186,0.247,0.081,0.114,0.006,0.026,0.07,0.22,0.074,0.034,0.006,0.058,0.018,0.012,0.034,0.032,0.04,0.014,0.024,0.012,0.024,0.008,0.0562,0.032,0.01,0.0731,0.052,0.0989,0.034,0.03,0.014,0.018,0.028,0.008,0.0589,0.012,0.132,0.064,0.008,0.0041,0.014,0.2842,0.072,0.0187,0.048,0.1972,0.014,0.008,0.004
XKL,0.402,0.006,0.002,0.0,0.006,0.114,0.046,0.072,0.01,0.0574,0.008,0.018,0.008,0.6372,0.03,0.0,0.004,0.094,0.03,0.02,0.196,0.026,0.136,0.136,0.1038,0.074,0.066,0.012,0.046,0.02,0.006,0.0645,0.03,0.1255,0.05,0.01,0.026,0.04,0.096,0.01,0.0395,0.004,0.1098,0.0497,0.008,0.0,0.006,0.2591,0.002,0.032,0.01,0.006,0.002,0.0,0.004
DRR,0.258,0.026,0.004,0.0179,0.018,0.062,0.046,0.05,0.0,0.0892,0.002,0.06,0.012,0.3179,0.028,0.002,0.002,0.034,0.006,0.0,0.022,0.014,0.042,0.022,0.018,0.018,0.166,0.018,0.0776,0.04,0.036,0.09,0.0582,0.118,0.0581,0.042,0.02,0.0159,0.06,0.0213,0.0709,0.022,0.072,0.0649,0.008,0.002,0.01,0.2535,0.012,0.034,0.022,0.002,0.0218,0.006,0.016
IEZ,0.2248,0.002,0.004,0.014,0.054,0.0557,0.008,0.0259,0.0,0.078,0.006,0.008,0.024,0.4292,0.008,0.0,0.0,0.102,0.04,0.002,0.092,0.012,0.012,0.004,0.028,0.0452,0.2044,0.016,0.042,0.032,0.018,0.172,0.046,0.212,0.03,0.048,0.01,0.022,0.062,0.0252,0.0448,0.01,0.11,0.0703,0.006,0.0,0.008,0.3507,0.004,0.026,0.016,0.006,0.016,0.0,0.03
PLC,0.112,0.004,0.002,0.004,0.044,0.018,0.01,0.048,0.0,0.0206,0.004,0.012,0.042,0.2154,0.0046,0.0,0.006,0.03,0.02,0.004,0.024,0.228,0.012,0.024,0.036,0.07,0.336,0.008,0.255,0.058,0.02,0.15,0.112,0.106,0.0314,0.002,0.006,0.03,0.066,0.062,0.108,0.024,0.016,0.069,0.004,0.0,0.03,0.238,0.01,0.244,0.032,0.004,0.004,0.0,0.015
UGR,0.086,0.002,0.002,0.0,0.192,0.102,0.01,0.0496,0.002,0.138,0.008,0.004,0.078,0.096,0.0,0.0,0.012,0.008,0.014,0.0,0.0,0.0,0.006,0.0,0.008,0.002,0.054,0.1,0.1164,0.064,0.032,0.086,0.064,0.224,0.012,0.058,0.008,0.01,0.008,0.002,0.024,0.006,0.09,0.098,0.092,0.0,0.118,0.5538,0.004,0.0,0.086,0.014,0.006,0.002,0.01
HWH,0.1457,0.01,0.002,0.004,0.038,0.0481,0.048,0.07,0.02,0.2237,0.002,0.028,0.034,0.076,0.04,0.024,0.002,0.022,0.002,0.002,0.0023,0.002,0.006,0.0,0.004,0.01,0.038,0.018,0.0802,0.09,0.068,0.12,0.142,0.134,0.032,0.008,0.0178,0.002,0.008,0.002,0.242,0.06,0.154,0.082,0.146,0.0,0.046,0.282,0.004,0.024,0.052,0.0434,0.032,0.004,0.028
QAK,0.18,0.014,0.012,0.0,0.074,0.0766,0.036,0.0739,0.006,0.12,0.006,0.016,0.036,0.392,0.02,0.0,0.004,0.066,0.02,0.008,0.052,0.018,0.002,0.0,0.046,0.02,0.23,0.036,0.0767,0.026,0.024,0.082,0.03,0.1,0.056,0.064,0.03,0.022,0.05,0.02,0.028,0.002,0.04,0.056,0.016,0.004,0.02,0.3547,0.008,0.02,0.024,0.008,0.008,0.004,0.008
LZN,0.166,0.012,0.0,0.01,0.046,0.1191,0.0437,0.1629,0.032,0.194,0.004,0.028,0.058,0.1048,0.062,0.024,0.008,0.022,0.0068,0.0,0.004,0.0,0.01,0.0,0.0,0.0,0.0081,0.014,0.1398,0.032,0.058,0.142,0.076,0.18,0.038,0.014,0.01,0.006,0.008,0.012,0.084,0.018,0.0961,0.046,0.156,0.002,0.052,0.2692,0.0,0.0139,0.084,0.1012,0.028,0.002,0.014
