label,dataset_count
alcoholic,83.0
aldehydic,122.0
alliaceous,74.0
almond,81.0
amber,83.0
animal,80.0
anisic,51.0
apple,298.0
apricot,70.0
aromatic,66.0
balsamic,288.0
banana,112.0
beefy,36.0
bergamot,33.0
berry,131.0
bitter,40.0
black currant,30.0
brandy,39.0
burnt,152.0
buttery,121.0
cabbage,43.0
camphoreous,86.0
caramellic,210.0
cedar,47.0
celery,37.0
chamomile,32.0
cheesy,90.0
cherry,72.0
chocolate,51.0
cinnamon,50.0
citrus,323.0
clean,83.0
clove,31.0
cocoa,110.0
coconut,94.0
coffee,91.0
cognac,100.0
cooked,95.0
cooling,40.0
cortex,48.0
coumarinic,48.0
creamy,139.0
cucumber,56.0
dairy,96.0
dry,140.0
earthy,301.0
ethereal,255.0
fatty,550.0
fermented,115.0
fishy,57.0
floral,982.0
fresh,492.0
fruit skin,39.0
fruity,1838.0
garlic,113.0
gassy,40.0
geranium,56.0
grape,69.0
grapefruit,61.0
grassy,62.0
green,1409.0
hawthorn,33.0
hay,68.0
hazelnut,47.0
herbal,492.0
honey,135.0
hyacinth,55.0
jasmin,89.0
juicy,31.0
ketonic,36.0
lactonic,35.0
lavender,42.0
leafy,124.0
leathery,43.0
lemon,50.0
lily,45.0
malty,31.0
meaty,270.0
medicinal,60.0
melon,127.0
metallic,113.0
milky,62.0
mint,200.0
muguet,48.0
mushroom,96.0
musk,77.0
musty,168.0
natural,79.0
nutty,313.0
odorless,140.0
oily,345.0
onion,167.0
orange,87.0
orangeflower,30.0
orris,61.0
ozone,35.0
peach,83.0
pear,137.0
phenolic,139.0
pine,70.0
pineapple,195.0
plum,54.0
popcorn,31.0
potato,45.0
powdery,116.0
pungent,156.0
radish,30.0
raspberry,42.0
ripe,56.0
roasted,270.0
rose,305.0
rummy,85.0
sandalwood,37.0
savory,92.0
sharp,79.0
smoky,63.0
soapy,40.0
solvent,31.0
sour,58.0
spicy,426.0
strawberry,45.0
sulfurous,335.0
sweaty,31.0
sweet,1362.0
tea,69.0
terpenic,34.0
tobacco,94.0
tomato,36.0
tropical,342.0
vanilla,93.0
vegetable,165.0
vetiver,34.0
violet,69.0
warm,89.0
waxy,444.0
weedy,40.0
winey,194.0
woody,632.0
