SubjectCode,Triplet,Rep,RedJade Code A,roleA,RedJade Code B,roleB,Roles,Perceptual Distance,Structural Distance
P1,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,70.24369936,0.9230769230769232
P1,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,118.7476269,0.59375
P1,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,48.81937525,0.9347826086956522
P1,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,61.07622123,0.9230769230769232
P1,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,96.88255829,0.59375
P1,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,35.8063472,0.9347826086956522
P10,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,10.75548697,0.9230769230769232
P10,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,45.02927936,0.59375
P10,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,44.40094706,0.9347826086956522
P10,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,19.37522645,0.9230769230769232
P10,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,40.9403957,0.59375
P10,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,21.57168978,0.9347826086956522
P11,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,53.06554815,0.9230769230769232
P11,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,101.6257143,0.59375
P11,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,49.45684381,0.9347826086956522
P11,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,21.70119121,0.9230769230769232
P11,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,15.74487218,0.59375
