odor,stage.x,chemotaxis_mean.x.y,chemotaxis_mean.x.ymin,chemotaxis_mean.x.ymax,n.x,stage.y,chemotaxis_mean.y.y,chemotaxis_mean.y.ymin,chemotaxis_mean.y.ymax,n.y,statistic,p,p.adj,effsize,magnitude
1-butanol,L3,0.20972222,0.13301204,0.28643241,9,wandering,0.066666667,0.001481301,0.131852033,9,52.0,0.331000,1.000000,0.23959710,small
1-hexanol,L3,0.26710526,0.20753036,0.32668017,19,wandering,0.147218900,0.104150907,0.190286892,22,275.5,0.084300,1.000000,0.27167745,small
1-octen-3-ol,L3,0.25000000,0.21309228,0.28690772,13,wandering,0.286133603,0.240081064,0.332186142,13,75.0,0.644000,1.000000,0.09567468,small
2-heptanone,L3,0.44875000,0.40135139,0.49614861,20,wandering,0.297291667,0.265243704,0.329339629,20,292.5,0.012700,0.241300,0.39595644,moderate
3-octanol,L3,0.21805556,0.12966448,0.30644663,9,wandering,0.194444444,0.121286774,0.267602115,9,48.5,0.507000,1.000000,0.16667624,small
acetophenone,L3,0.21292517,0.10425955,0.32159079,7,wandering,0.163450292,0.100504236,0.226396349,9,39.0,0.458000,1.000000,0.19861714,small
anisole,L3,0.49947090,0.43694882,0.56199298,9,wandering,0.115277778,0.073414814,0.157140741,9,80.0,0.000559,0.010621,0.82381631,large
benzaldehyde,L3,0.35277778,0.31191163,0.39364393,9,wandering,0.070833333,0.010560516,0.131106151,9,71.0,0.008040,0.152760,0.63512486,large
cyclohexanone,L3,0.21571637,0.15581940,0.27561335,9,wandering,0.054166667,0.012292185,0.096041148,9,66.0,0.026700,0.507300,0.53265940,large
ethyl acetate,L3,0.53333333,0.45184330,0.61482336,9,wandering,0.347619048,0.312597239,0.382640856,9,58.5,0.121000,1.000000,0.37560463,moderate
ethyl butyrate,L3,0.87986842,0.84762446,0.91211238,20,wandering,0.665296053,0.625861461,0.704730644,20,341.5,0.000134,0.002546,0.60584868,large
isoamyl acetate,L3,0.45709064,0.41198808,0.50219320,9,wandering,0.364766082,0.293613423,0.435918741,9,50.0,0.436000,1.000000,0.19772367,small
methyl salicylate,L3,0.40822368,0.36136386,0.45508351,18,wandering,0.225694444,0.187876184,0.263512705,18,245.0,0.008940,0.169860,0.43834480,moderate
o-cresol,L3,0.01955235,-0.03733524,0.07643995,9,wandering,-0.011500975,-0.041884074,0.018882125,9,41.0,1.000000,1.000000,0.01042266,small
octyl acetate,L3,0.17500000,0.11897512,0.23102488,17,wandering,0.069156347,0.045035358,0.093277336,17,192.5,0.102000,1.000000,0.28371026,small
pentyl acetate,L3,0.32875000,0.27592597,0.38157403,20,wandering,0.432244152,0.395868632,0.468619672,20,146.5,0.151000,1.000000,0.22899113,small
propyl acetate,L3,0.78750000,0.73886409,0.83613591,9,wandering,0.390497076,0.332999925,0.447994227,9,78.5,0.000900,0.017100,0.79294311,large
trans-2-hexen-1-al,L3,0.27421875,0.21926294,0.32917456,16,wandering,0.147445820,0.096607912,0.198283728,17,181.0,0.109000,1.000000,0.28231899,small
